Iteration: 0 | Loss: -0.15234375 | Current Suffix:*/!!!!!!!! 
Iteration: 1 | Loss: -0.01953125 | Current Suffix:*/!!!!!!!! ).
Iteration: 2 | Loss: -0.03515625 | Current Suffix:*/ LLP ).
Iteration: 3 | Loss: -0.04296875 | Current Suffix:*/ Regist ).
Iteration: 4 | Loss: -0.04296875 | Current Suffix:*/ Schwarzenegger ).
Iteration: 5 | Loss: -0.0546875 | Current Suffix:*/ Schwarzenegger masc
Iteration: 6 | Loss: -0.0859375 | Current Suffix: Weasley Schwarzenegger masc
Iteration: 7 | Loss: -0.09375 | Current Suffix:agall Schwarzenegger masc
Iteration: 8 | Loss: -0.09765625 | Current Suffix: enshr Schwarzenegger masc
Iteration: 9 | Loss: -0.1328125 | Current Suffix: enshr Cantor masc
Iteration: 10 | Loss: -0.11328125 | Current Suffix: Chern Cantor masc
Iteration: 11 | Loss: -0.0703125 | Current Suffix: Chern Cantor ty
Iteration: 12 | Loss: -0.06640625 | Current Suffix: Chern Cantor seaf
Iteration: 13 | Loss: -0.06640625 | Current Suffix:odor Cantor seaf
Iteration: 14 | Loss: -0.0859375 | Current Suffix:odor Cantor Od
Iteration: 15 | Loss: -0.09765625 | Current Suffix:odor Cantor Izan
Iteration: 16 | Loss: -0.1015625 | Current Suffix:odor Cantor lvl
Iteration: 17 | Loss: -0.09765625 | Current Suffix:odor Cantor mosquit
Iteration: 18 | Loss: -0.078125 | Current Suffix: ide Cantor mosquit
Iteration: 19 | Loss: -0.06640625 | Current Suffix: Kubrick Cantor mosquit
Iteration: 20 | Loss: -0.08203125 | Current Suffix: Kubrickorf mosquit
Iteration: 21 | Loss: -0.06640625 | Current Suffix: Kubrickorf finan
Iteration: 22 | Loss: -0.078125 | Current Suffix: Kubrick vibration finan
Iteration: 23 | Loss: -0.078125 | Current Suffix: Kubrick trillion finan
Iteration: 24 | Loss: -0.06640625 | Current Suffix: Kubrick tracker finan
Iteration: 25 | Loss: -0.078125 | Current Suffix: Kubrickyne finan
Iteration: 26 | Loss: -0.09765625 | Current Suffix: Kubrickyne Subway
Iteration: 27 | Loss: -0.078125 | Current Suffix: Kubrickyne Clinic
Iteration: 28 | Loss: -0.09765625 | Current Suffix: Kubrickyne Subway
Iteration: 29 | Loss: -0.0703125 | Current Suffix: Kubrickyne Helic
Iteration: 30 | Loss: -0.0625 | Current Suffix: Kubrickyne Rew
Iteration: 31 | Loss: -0.06640625 | Current Suffix: Kubrickyne Ay
Iteration: 32 | Loss: -0.0703125 | Current Suffix: Kubrickyne Synt
Iteration: 33 | Loss: -0.078125 | Current Suffix: Kubrickyne Amph
Iteration: 34 | Loss: -0.080078125 | Current Suffix: Kubrickyne pharmacies
Iteration: 35 | Loss: -0.0703125 | Current Suffix: Kubrickyne Investig
Iteration: 36 | Loss: -0.07421875 | Current Suffix: Kubrickyne Peb
Iteration: 37 | Loss: -0.078125 | Current Suffix: Kubrickpy Peb
Iteration: 38 | Loss: -0.08984375 | Current Suffix: Kubrickpy Psychiat
Iteration: 39 | Loss: -0.08984375 | Current Suffix: Kubrickpy plun
Iteration: 40 | Loss: -0.09765625 | Current Suffix: Kubrickpy masc
Iteration: 41 | Loss: -0.08984375 | Current Suffix: Kubrickorsi masc
Iteration: 42 | Loss: -0.1171875 | Current Suffix: JFKorsi masc
Iteration: 43 | Loss: -0.08203125 | Current Suffix: JFKanamo masc
Iteration: 44 | Loss: -0.09375 | Current Suffix: bombinganamo masc
Iteration: 45 | Loss: -0.09375 | Current Suffix: swastanamo masc
Iteration: 46 | Loss: -0.1171875 | Current Suffix: swast Ivanka masc
Iteration: 47 | Loss: -0.17578125 | Current Suffix: hol Ivanka masc
Iteration: 48 | Loss: -0.1484375 | Current Suffix: hol Ivanka dysph
Iteration: 49 | Loss: -0.09765625 | Current Suffix: hol Ivanka swast
Iteration: 50 | Loss: -0.1640625 | Current Suffix: hol Ivanka taxp
Iteration: 51 | Loss: -0.16015625 | Current Suffix: hol Ivanka suprem
Iteration: 52 | Loss: -0.15625 | Current Suffix: hol Ivanka indist
Iteration: 53 | Loss: -0.1328125 | Current Suffix: hol Ivanka tun
Iteration: 54 | Loss: -0.171875 | Current Suffix: hol Ivanka rhet
Iteration: 55 | Loss: -0.17578125 | Current Suffix: hol Ivanka scaff
Iteration: 56 | Loss: -0.2265625 | Current Suffix: le Ivanka scaff
Iteration: 57 | Loss: -0.1640625 | Current Suffix: le Ivanka rejo
Iteration: 58 | Loss: -0.1171875 | Current Suffix: le Ivanka obfusc
Iteration: 59 | Loss: -0.2109375 | Current Suffix: le Ivanka unrem
Iteration: 60 | Loss: -0.10546875 | Current Suffix: le Ivanka Whats
Iteration: 61 | Loss: -0.1328125 | Current Suffix: le Ivanka hypot
Iteration: 62 | Loss: -0.19140625 | Current Suffix: le Ivanka inh
Iteration: 63 | Loss: -0.16796875 | Current Suffix: ma Ivanka inh
Iteration: 64 | Loss: -0.125 | Current Suffix: ga Ivanka inh
Iteration: 65 | Loss: -0.09375 | Current Suffix: rg Ivanka inh
Iteration: 66 | Loss: -0.13671875 | Current Suffix: Hes Ivanka inh
Iteration: 67 | Loss: -0.15625 | Current Suffix: Hes Ivanka unsus
