Iteration: 0 | Loss: 234.375 | Current Suffix:!!!!!!!!!!! 
Iteration: 1 | Loss: 192.875 | Current Suffix:!!!!!!!!!!! i
Iteration: 2 | Loss: 124.0 | Current Suffix:!!!!!!!!!!! this
Iteration: 3 | Loss: 120.6875 | Current Suffix:!!!!!!!!!!! that
Iteration: 4 | Loss: 120.6875 | Current Suffix:!!!!!!!!!!! that
Iteration: 5 | Loss: 120.6875 | Current Suffix:!!!!!!!!!!! that
Iteration: 6 | Loss: 186.875 | Current Suffix:HOME!!! that
Iteration: 7 | Loss: 222.75 | Current Suffix:HOME.......... that
Iteration: 8 | Loss: 184.0 | Current Suffix:~~~~.......... that
Iteration: 9 | Loss: 134.625 | Current Suffix:~~~~.......... there
Iteration: 10 | Loss: 151.875 | Current Suffix: huh.......... there
Iteration: 11 | Loss: 98.875 | Current Suffix:!!!!!!!!.......... there
Iteration: 12 | Loss: 98.875 | Current Suffix:!!!!!!!!.......... there
Iteration: 13 | Loss: 98.875 | Current Suffix:!!!!!!!!.......... there
Iteration: 14 | Loss: 120.1875 | Current Suffix:!!!!!!!!.......... this
Iteration: 15 | Loss: 119.75 | Current Suffix:!!!!!!!!.......... it
Iteration: 16 | Loss: 119.75 | Current Suffix:!!!!!!!!.......... it
Iteration: 17 | Loss: 98.875 | Current Suffix:!!!!!!!!.......... there
Iteration: 18 | Loss: 116.5 | Current Suffix:!!!!!!!!.......... which
Iteration: 19 | Loss: 96.9375 | Current Suffix:!!!!!!!!.......... It
Iteration: 20 | Loss: 136.75 | Current Suffix:enium.......... It
Iteration: 21 | Loss: 126.4375 | Current Suffix:orld.......... It
Iteration: 22 | Loss: 125.9375 | Current Suffix:aturday.......... It
Iteration: 23 | Loss: 130.0 | Current Suffix: Birthday.......... It
Iteration: 24 | Loss: 106.0625 | Current Suffix:allery.......... It
Iteration: 25 | Loss: 117.875 | Current Suffix: paradise.......... It
Iteration: 26 | Loss: 130.0 | Current Suffix: Birthday.......... It
Iteration: 27 | Loss: 118.8125 | Current Suffix:!!!!.......... It
Iteration: 28 | Loss: 145.0 | Current Suffix: Simulator.......... It
Iteration: 29 | Loss: 125.9375 | Current Suffix:aturday.......... It
Iteration: 30 | Loss: 125.9375 | Current Suffix:aturday.......... It
Iteration: 31 | Loss: 106.0625 | Current Suffix:allery.......... It
Iteration: 32 | Loss: 117.875 | Current Suffix: paradise.......... It
Iteration: 33 | Loss: 130.0 | Current Suffix: Birthday.......... It
Iteration: 34 | Loss: 131.0 | Current Suffix:!!.......... It
Iteration: 35 | Loss: 119.75 | Current Suffix: Sunrise.......... It
Iteration: 36 | Loss: 132.0 | Current Suffix: Cinderella.......... It
Iteration: 37 | Loss: 136.75 | Current Suffix:~~.......... It
Iteration: 38 | Loss: 141.625 | Current Suffix: Noir.......... It
Iteration: 39 | Loss: 131.0 | Current Suffix:!!.......... It
Iteration: 40 | Loss: 141.625 | Current Suffix: Noir.......... It
Iteration: 41 | Loss: 122.5625 | Current Suffix:~~~~.......... It
Iteration: 42 | Loss: 136.25 | Current Suffix: Bye.......... It
Iteration: 43 | Loss: 135.125 | Current Suffix: Mermaid.......... It
Iteration: 44 | Loss: 118.8125 | Current Suffix:!!!!.......... It
Iteration: 45 | Loss: 132.5 | Current Suffix: Tokyo.......... It
