Iteration: 0 | Loss: -0.0859375 | Current Suffix:!!!!!!!!Fi!!
Iteration: 1 | Loss: -0.109375 | Current Suffix:!!!!!!!! Naruto!!
Iteration: 2 | Loss: -0.125 | Current Suffix: AMA Naruto!!
Iteration: 3 | Loss: -0.125 | Current Suffix: AMA Naruto sir
Iteration: 4 | Loss: -0.16015625 | Current Suffix: AMA Naruto Hak
Iteration: 5 | Loss: -0.1484375 | Current Suffix: AMA Naruto Flash
Iteration: 6 | Loss: -0.1484375 | Current Suffix: AMA Naruto Have
Iteration: 7 | Loss: -0.171875 | Current Suffix: AMA Naruto Region
Iteration: 8 | Loss: -0.171875 | Current Suffix: SCP Naruto Region
Iteration: 9 | Loss: -0.171875 | Current Suffix: FY Naruto Region
Iteration: 10 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 11 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 12 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 13 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 14 | Loss: -0.19921875 | Current Suffix: newsp Naruto Hide
Iteration: 15 | Loss: -0.20703125 | Current Suffix: Beirut Naruto Hide
Iteration: 16 | Loss: -0.19921875 | Current Suffix: morphine Naruto Hide
Iteration: 17 | Loss: -0.2109375 | Current Suffix: morphine Naruto Must
Iteration: 18 | Loss: -0.2421875 | Current Suffix:BU Naruto Must
Iteration: 19 | Loss: -0.25 | Current Suffix: Dota Naruto Must
Iteration: 20 | Loss: -0.34375 | Current Suffix: FTA Naruto Must
Iteration: 21 | Loss: -0.23046875 | Current Suffix: Terr Naruto Must
Iteration: 22 | Loss: -0.2578125 | Current Suffix: SQ Naruto Must
Iteration: 23 | Loss: -0.2421875 | Current Suffix: XCOM Naruto Must
Iteration: 24 | Loss: -0.2421875 | Current Suffix:BU Naruto Must
Iteration: 25 | Loss: -0.25 | Current Suffix: Dota Naruto Must
Iteration: 26 | Loss: -0.34375 | Current Suffix: FTA Naruto Must
Iteration: 27 | Loss: -0.265625 | Current Suffix:Corp Naruto Must
Iteration: 28 | Loss: -0.2265625 | Current Suffix: scanners Naruto Must
Iteration: 29 | Loss: -0.3203125 | Current Suffix: Bucs Naruto Must
Iteration: 30 | Loss: -0.265625 | Current Suffix: Fighters Naruto Must
Iteration: 31 | Loss: -0.28125 | Current Suffix:elaide Naruto Must
Iteration: 32 | Loss: -0.21875 | Current Suffix: tavern Naruto Must
Iteration: 33 | Loss: -0.234375 | Current Suffix:skirts Naruto Must
Iteration: 34 | Loss: -0.23046875 | Current Suffix: rooftop Naruto Must
Iteration: 35 | Loss: -0.2578125 | Current Suffix: Commando Naruto Must
Iteration: 36 | Loss: -0.234375 | Current Suffix: render Naruto Must
Iteration: 37 | Loss: -0.2578125 | Current Suffix: SOS Naruto Must
Iteration: 38 | Loss: -0.2109375 | Current Suffix: Spartan Naruto Must
Iteration: 39 | Loss: -0.23828125 | Current Suffix: tunnel Naruto Must
Iteration: 40 | Loss: -0.21875 | Current Suffix: Manor Naruto Must
Iteration: 41 | Loss: -0.265625 | Current Suffix: disturbance Naruto Must
Iteration: 42 | Loss: -0.16796875 | Current Suffix: adjourn Naruto Must
Iteration: 43 | Loss: -0.28125 | Current Suffix: Admir Naruto Must
Iteration: 44 | Loss: -0.24609375 | Current Suffix: PARK Naruto Must
Iteration: 45 | Loss: -0.2578125 | Current Suffix: SQ Naruto Must
Iteration: 46 | Loss: -0.2578125 | Current Suffix: Runner Naruto Must
Iteration: 47 | Loss: -0.296875 | Current Suffix:ikers Naruto Must
Iteration: 48 | Loss: -0.22265625 | Current Suffix: Ost Naruto Must
Iteration: 0 | Loss: -0.0859375 | Current Suffix:!!!!!!!!Fi!!
Iteration: 1 | Loss: -0.109375 | Current Suffix:!!!!!!!! Naruto!!
Iteration: 2 | Loss: -0.125 | Current Suffix: AMA Naruto!!
Iteration: 3 | Loss: -0.125 | Current Suffix: AMA Naruto sir
Iteration: 4 | Loss: -0.16015625 | Current Suffix: AMA Naruto Hak
Iteration: 5 | Loss: -0.1484375 | Current Suffix: AMA Naruto Flash
Iteration: 6 | Loss: -0.1484375 | Current Suffix: AMA Naruto Have
