Itr: 0 | Loss: -0.03607177734375 | Prefix Loss: 0.03607177734375 | Suffix Loss: -7.152557373046875e-06 | Prefixes:!!That | !! UNESCO
Itr: 1 | Loss: -0.03668212890625 | Prefix Loss: 0.0430908203125 | Suffix Loss: 0.00641632080078125 | Prefixes:!!igne | !! MU
Itr: 2 | Loss: -0.006343841552734375 | Prefix Loss: 0.01212310791015625 | Suffix Loss: 0.005779266357421875 | Prefixes:!!elist | !! Gerry
Itr: 3 | Loss: -0.0107269287109375 | Prefix Loss: 0.01410675048828125 | Suffix Loss: 0.003376007080078125 | Prefixes:!!rett | !! Crowley
Itr: 4 | Loss: -0.0136260986328125 | Prefix Loss: 0.014892578125 | Suffix Loss: 0.0012655258178710938 | Prefixes:!!Rod | !! toile
Itr: 5 | Loss: -0.005401611328125 | Prefix Loss: 0.01200103759765625 | Suffix Loss: 0.00659942626953125 | Prefixes:!!nard | !! Vault
Itr: 6 | Loss: -0.01285552978515625 | Prefix Loss: 0.0164337158203125 | Suffix Loss: 0.0035800933837890625 | Prefixes:!!Bride | !! cryst
Itr: 7 | Loss: -0.0198974609375 | Prefix Loss: 0.02301025390625 | Suffix Loss: 0.0031070709228515625 | Prefixes:!!leck | !! Garland
Itr: 8 | Loss: -0.01551055908203125 | Prefix Loss: 0.0200653076171875 | Suffix Loss: 0.00455474853515625 | Prefixes: EntityItemleck | AIR Garland
Itr: 9 | Loss: 0.01325225830078125 | Prefix Loss: 0.0032558441162109375 | Suffix Loss: 0.016510009765625 | Prefixes: EntityItem Cruiser | AIR Frieza
Itr: 10 | Loss: -0.2021484375 | Prefix Loss: 0.207275390625 | Suffix Loss: 0.00506591796875 | Prefixes: EntityItemDeliveryDate | AIR Mineral
Itr: 11 | Loss: 0.1258544921875 | Prefix Loss: 0.023529052734375 | Suffix Loss: 0.1494140625 | Prefixes:630DeliveryDate | Legend Mineral
Itr: 12 | Loss: 0.03155517578125 | Prefix Loss: 0.00995635986328125 | Suffix Loss: 0.04150390625 | Prefixes:MRDeliveryDate | Dialogue Mineral
Itr: 13 | Loss: 0.0239715576171875 | Prefix Loss: 0.0068817138671875 | Suffix Loss: 0.030853271484375 | Prefixes: CTRDeliveryDate | TIT Mineral
Itr: 14 | Loss: 0.0032958984375 | Prefix Loss: 0.017547607421875 | Suffix Loss: 0.020843505859375 | Prefixes:MRDeliveryDate | Ta Mineral
Itr: 15 | Loss: 0.0093841552734375 | Prefix Loss: 0.0149688720703125 | Suffix Loss: 0.02435302734375 | Prefixes:MRDeliveryDate | Brit Mineral
Itr: 16 | Loss: 0.0227813720703125 | Prefix Loss: 0.0110321044921875 | Suffix Loss: 0.0338134765625 | Prefixes: MRDeliveryDate | Event Mineral
Itr: 17 | Loss: -0.01531982421875 | Prefix Loss: 0.05377197265625 | Suffix Loss: 0.0384521484375 | Prefixes:HUDDeliveryDate |  Reloaded Mineral
